year,country_code,country,type,indicator,indicator_name,value,yoy_change_pct,period
2015,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),495747450357.728,,Pre-Trade War
2016,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),481357649980.237,-2.9026473796501473,Pre-Trade War
2017,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),518766780219.71,7.771587351111786,Pre-Trade War
2018,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),557719627178.031,7.508739657890873,Trade War 1.0
2019,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),564142104614.779,1.151560232736415,Trade War 1.0
2020,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),487990676642.934,-13.498625142302501,Trade War 1.0
2021,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),630478158309.719,29.198812290228247,Recovery
2022,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),743495409319.726,17.92564096320175,Recovery
2023,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),724806087191.631,-2.513710494217458,Recovery
2024,CA,Canada,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),727920466717.008,0.4296845156811724,Recovery
2015,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),414495031033.993,,Pre-Trade War
2016,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),409476294705.042,-1.2108073567085542,Pre-Trade War
2017,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),446688309687.408,9.087709218715823,Pre-Trade War
2018,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),490508969545.438,9.810120145901212,Trade War 1.0
2019,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),502467566320.434,2.437997573434436,Trade War 1.0
2020,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),439853932827.966,-12.461228881097174,Trade War 1.0
2021,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),534121610565.454,21.431586875081464,Recovery
2022,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),629788673074.2,17.911101257907713,Recovery
2023,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),648642274776.945,2.9936393760012336,Recovery
2024,MX,Mexico,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),681348718684.406,5.042292983248453,Recovery
2015,KR,South Korea,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),630586518885.63,,Pre-Trade War
2016,KR,South Korea,Trade,NE.EXP.GNFS.CD,Exports of goods & services (USD),601861440813.944,-4.555295302292361,Pre-Trade War
